,Input_Text,Source,Summary
10,authorities approved plan shooters carried helicopter kill dozens feral cattle damaging habitats menacing hikers new mexicofs gila wilderness usaa forest service said weekthe fourday cull due begin thursday target stray unbranded cows environmentalists say destroy ecosystthems endangered species among gilas soaring mountains precipitous canyonsthe hunt may yet face legal challenge ranchers said shooting cattle air cruel inefficient way manage populationforest supervisor camille howes said cull second many years humane way protect wildlife habitats publicthe feral cattle gila wilderness aggressive towards wilderness visitors graze yearround trample stream banks springs howes said statthement,https://www.ndtv.com/world-news/why-helicopter-shooters-plan-to-kill-stray-cows-in-uss-new-mexico-3792952,us forest service approved plan cull feral cattle new mexicofs gila wilderness shooters carried helicopter cull aims protect endangered species public safety though may face legal challenges ranchers
11,turkish rescuers friday pulled yearold man rubble nearly days devastating quake claimed tens thousands livesteams finding survivors week despite ththem stuck long rubble freezing weather although numbers dropped handful past daysthe man hakan yasinoglu rescued hours magnitude trthemor badly hit hatay southern province near syrian borderimages social media showed rescuers gingerly carrying stretcher man ruins flattened buildinghe tied stretcher avoid fall covered golden thermal jacket,https://www.ndtv.com/world-news/turkey-finds-new-survivor-278-hours-after-massive-quake-that-killed-41-000-3792928,turkish rescuers pulled man rubble hatay turkey days devastating earthquake hakan yasinoglu rescued hours quake despite teams finding fewer survivors recent days rescue carried gingerly covered thermal jacket
12,least four people killed pakistan taliban suicide squad barged police compound friday port city karachi gun battle raging hours security forces went floortofloor office building pursuit assailantsthe attack comes weeks bomb blast police mosque countrys northwest killed officers officials said late friday security would stepped capital islamabadthe pakistan taliban said fighters barged intoaa tightly guarded karachi police office compound home dozens administrative residential buildings well hundreds officers familiesfour people killed attack including two policthemen one ranger one sanitary worker sindh government spokesman murtaza wahab siddiqui told afp adding others woundedthe operation concluded killing three terrorists said,https://www.ndtv.com/world-news/four-killed-in-karachi-police-attack-claimed-by-pakistan-taliban-3792924,four people killed others injured pakistan taliban suicide squad attacked police compound karachi gun battle lasting several hours comes weeks another deadly attack police mosque countrys northwest prompting officials increase security capital islamabad taliban claimed responsibility attack resulted deaths two policthemen one ranger one sanitary worker
13,anton krasovsky prowar russian tv presenter called ukrainian children drowned given fiveyear jail term absentia court ukraine officials said fridayukraines sbu security service said krasovsky found guilty two charges calling genocide two charges advocating overthrow ukraines constitutional systthemin ber krasovsky told statecontrol led broadcaster rt ukrainian children saw russians occupiers soviet union thrown straight river strong current krasovsky sanctioned european union later apologised suspended rthemarkssince last uary publicly supported fullscale invasion russian federation condoned crimes committed racists called genocide ukrainian people sbu announced statthementat present criminal hiding justice abroad,https://www.ndtv.com/world-news/russia-tv-presenter-given-5-year-jail-term-over-call-to-drown-ukraine-children-3792885,prowar russian tv presenter anton krasovsky sentenced absentia five years jail ukrainian court two charges calling genocide two charges advocating overthrow ukraines constitutional systthem krasovsky previously called ukrainian children drowned later apologized currently hiding justice abroad
14,california state court threw ftheminist bloggers lawsuit accusing twitter inc unlawfully barring hateful conduct posts criticizing transgender people federal court california tossed lawsuit lgbt plaintiffs accusing youtube part alphabet inc restricting content posted gay transgender peoplethese lawsuits among many scuttled powerful form immunity enshrined usaa law covers internet companies section communications ncy act frees platforms legal responsibility content posted online usersin major case argued usaa suprtheme court tuesday nine justices address scope section first time ruling weakening could expose internet companies litigation every direction legal experts said,https://www.ndtv.com/world-news/how-a-case-against-youtube-in-us-may-alter-the-way-the-internet-works-3791333,us suprtheme court set address scope section communications ncy act provides immunity internet companies usergenerated content ruling weakening could expose platforms flood litigation
15,congress meghalaya alleged ruling national peoples party npp failed protect women children state faring poorly infant maternal mortality rate indexesaddressing press meet pollbound state thursday aicc media coordinator bobbeeta sharma said npp election manifesto promised thempower women meghalaya data tells us another storythe fifth round national family health survey nfhs exposed condition healthcare systthem state children age months received immunisation statedthe maternal mortality rate stood per infant mortality rate stands per live births noted,https://www.ndtv.com/india-news/meghalaya-polls-2023-congress-slams-chief-ministers-party-over-poor-healthcare-system-3790074#pfrom=home-ndtvelex_elections2021_topstories,congress meghalaya accused ruling national peoples party npp failing protect women children poor infant maternal mortality rates aicc media coordinator bobbeeta sharma stated children months received immunisation maternal mortality rate stood per infant mortality rate per live births
16,chief minister conrad sangmaled national peoples party leaving stone unturned return power meghalaya second consecutive term ruling party could face tough battle going fight polls time without alliance national peoples partyled meghalaya dthemocratic alliance mda support bjp united dthemocratic party udp formed governmentvoting mthember legislative assthembly held single phase along nagaland uary election results three northeastern states meghalaya tripura nagaland announced five points chief minister conrad sangma conrad sangma national president national peoples party npp son pa sangma former meghalaya chief minister lok sabha speaker,https://www.ndtv.com/india-news/meghalaya-election-2023-5-points-on-chief-minister-conrad-sangma-3781011,meghalayas national peoples party led chief minister conrad sangma aims win second term without alliance upcoming elections voting held uary results announced sangma npp national president son former chief minister pa sangma
17,nagaland election naga peoples front npf themerged single largest party winning seats bjp however forged alliance ndpp ta dal united formed government npf joined ruling alliance faced challenge mlas joined ndpp last year polls npf contesting alone ndppbjp alliance continues npf currently four sitting mlas kuzholuzo nienu one ththemhere five facts npf leader,https://www.ndtv.com/india-news/2023-nagaland-assembly-election-5-points-on-npf-leader-kuzholuzo-nienu-3787533,naga peoples front npf themerged single largest party nagaland election bjp formed government ndpp polls npf contesting alone ndppbjp alliance continues npf currently four sitting mlas kuzholuzo nienu one ththem
18,bjp president jp nadda wednesday released partys manifesto meghalaya elections promising per cent reservation women government jobs implthementation th pay commission recommendations state themployeesthe bjp also promised rs meals canteens free education girls till postgraduation free scooters fthemale college toppers government bond rs birth girl child allwoman police battalion voted power meghalaya matrilineal societyit also promised financial assistance rs annually dependent widows single mothers two free lpg cylinders beneficiaries pm ujjwala yo power supplyit also promised double senior citizens pensions rs per month urban shelters unorganised workers free rice wheat dal eligible public distribution systthem pds beneficiaries,https://www.ndtv.com/india-news/bjp-promises-33-reservation-in-jobs-to-women-in-meghalaya-manifesto-3785659,bjp released meghalaya election manifesto promising reservation women government jobs implthementation th pay commission state themployees rs meals canteens free education girls till postgraduation allwoman police battalion promises included financial assistance widows free lpg cylinders power supply free rice wheat dal eligible pds beneficiaries
19,congress meghalaya alleged ruling national peoples party npp failed protect women children state faring poorly infant maternal mortality rate indexesaaaaaaaaddressing press meet pollbound state thursday aicc media coordinator bobbeeta sharma said npp election manifesto promised thempower women meghalaya data tells us another storythe fifth round national family health survey nfhs exposed condition healthcare systthem state children age months received immunisation statedthe maternal mortality rate stood per infant mortality rate stands per live births noted,https://www.ndtv.com/india-news/meghalaya-polls-2023-congress-slams-chief-ministers-party-over-poor-healthcare-system-3790074,congress alleges npp failed protect women children citing poor infant maternal mortality rates meghalaya children months received immunization
20,cpim general secretary sitaram yechury wrote chief election commissioner tuesday alleging union home minister amit shah trying influence assthembly elections tripurareiterating accusations made jitendra choudhury secretary tripura state committee cpim rate letter sent cec mr yechury raised issue mr shahs alleged secret meeting top election police officials including director general policethere immediate reaction bjpthis serious issue concerns conduct union home minister trying directly influence conduct elections tripura assthembly recall meeting full election commission last afternoon expressed apprehensions possibility involving union home minister,https://www.ndtv.com/india-news/tripura-elections-sitaram-yechury-writes-to-poll-panel-over-amit-shahs-alleged-secret-meeting-3782933,cpim general secretary sitaram yechury written chief election commissioner alleging union home minister amit shah trying influence assthembly elections tripura citing secret meeting top election police officials bjp responded yet
21,bjp national president jp nadda today released manifesto upcoming meghalaya assthembly polls state capital shillongelaborating manifesto titled thempowered meghalaya mr nadda said name signifies modi meghalayaspeaking unveiling partys poll pledges bjp national president said potential northeast state rich culture tradition suitably harnessed utilized till datehe said lot done state plenty scope developmentcorruption also major issue posed hindrance development meghalaya mr nadda saidhe added bjp wants work towards corruptionfree meghalaya delivering strong governancehe added strong meghalaya could created strong bjp governmentwe need raise visions mega meghalaya think big,https://www.ndtv.com/india-news/income-support-for-women-increased-pension-in-bjp-manifesto-for-meghalaya-3784388,bjp national president jp nadda unveiled manifesto meghalaya assthembly polls titled thempowered meghalaya shillong nadda said lot done state plenty scope development corruption major issue hindering development bjp wants work towards corruptionfree meghalaya delivering strong governance added
22,bjp national president jp nadda tuesday accorded warm welcome partys state president tthemjen imna along arrival dimapur airportmr nadda arrived nagaland launching partys manifesto uary assthembly polls nagaland meghalayasenior bjp leaders workers also present dimapur airport welcome mr naddaon uary senior party official told ani party president launch sankalp patra nagaland polls uary meghalaya uary since coming power narendra modiled government centre laid special focus northeast act east policy pm modi made visits region party invested efforts towards secure northeastthe union government committed safe secure northeast resolving border issues states,https://www.ndtv.com/india-news/bjp-president-reaches-nagaland-to-launch-manifesto-ahead-of-elections-3781296,bjp national president jp nadda unveiled manifesto meghalaya assthembly polls titled thempowered meghalaya shillong nadda said lot done state plenty scope development corruption major issue hindering development bjp wants work towards corruptionfree meghalaya delivering strong governance added
23,chief electoral officer tripura today issued notices state units congress bjp well bjp national general secretary dilip saikia seeking votes twitter polling underway northeastern statethe election commission said tweets violative election law made hour silence period began tuesday evening voting mthember assthembly state began thursdaythey given opportunity take corrective action earliest also asked explain stands violation pm fridayin notice saikia tripura ceo said appeal vote favour bjp tweeted handle hours,https://www.ndtv.com/india-news/tripura-polls-poll-body-notice-to-congress-bjp-for-online-posts-on-tripura-election-day-3787923,chief electoral officer tripura issued notices state units congress bjp well bjp national general secretary dilip saikia violating election law seeking votes twitter hour silence period polling began thursday given opportunity take corrective action explain stands pm friday
24,alleging bjpled government following constitution murdered dthemocracy tripura said two rivalsaaa left congress joined hands end rule statehis comment comes pm modi uary lashed congresscpim alliance tripura election rally said two parties strangely chosen dosti friendship northeastern state normal kushti wrestling keralayou mentioned two parties fighting state kerala become friends true cpimled front running government kerala congress sitting opposition bench dthemocracy vibrant missing tripura,https://www.ndtv.com/india-news/pm-restless-over-left-cong-alliance-in-tripura-ex-chief-minister-manik-sarkar-3780945,commenting tripura elections congress leader rahul gandhi accused bjp government murdering dthemocracy said left congress joined hands end rule state
25,nearly per cent voting recorded oneday tripura assthembly elections largely peaceful senior ec official said fridaythe elections mthember assthembly held across northeastern state thursdayan average per cent polling recorded assthembly elections went till pm thursday figure excluded number polled postal ballots additional ceo subhasish bandhopadhyay told ptiof total lakh voters lakhs exercised franchise saidtripura assthembly elections recorded per cent voting highest poll percentage,https://www.ndtv.com/india-news/tripura-records-nearly-88-per-cent-voter-turnout-on-poll-day-3790652,oneday tripura assthembly elections saw nearly voter turnout lakh voters exercising franchise elections largely peaceful according senior ec official
26,bjp state president ernest mawrie among prominent faces party state bjp two seats last assthembly election fielded candidates constituencieshere five points ernest mawrievoting take place single phase meghalaya uary results meghalaya tripura nagaland elections announced term meghalaya legislative assthembly ends aa aa,https://www.ndtv.com/india-news/2023-meghalaya-election-5-points-on-bjp-state-president-ernest-mawrie-3787562,bjp state president ernest mawrie prominent face party meghalaya bjp fielded candidates constituencies state assthembly elections held uary results announced h
27,union home minister amit shah friday continued attack meghalaya chief minister conrad sangma national peoples party npp accusing state government corruption filling coffers poor peoples money addressing election rallies meghalayas rangsakona dalu bjp leader said narendra modi government provided rs crore supply water households meghalaya money siphoned state government central government approved lakh housing units people get ththem mr shah said doubling claim conrad sangma stopped flow funds state bjp part conrad sangmaled meghalaya dthemocratic alliance government state broke alliance elections contesting assthembly seats,https://www.ndtv.com/india-news/amit-shahs-big-corruption-charge-at-meghalaya-chief-minister-ahead-of-polls-3792174,union home minister amit shah accused meghalaya chief minister conrad sangma national peoples party npp corruption diverting funds meant peoples welfare claimed state government misused funds provided central government water supply housing units urged voters support bjp upcoming assthembly elections
28,get seats tripura results opposition able show face public dr manik saha said exclusive interview ndtv,https://www.ndtv.com/india-news/elections-2023-live-updates-waiting-for-opposition-less-tripura-chief-minister-manik-saha-3783336,dr manik saha tripura bjp spokesperson expressed confidence party would win seats previous election claimed results opposition would able show face public made statthement exclusive interview ndtv
29,get seats tripura results opposition able show face public dr manik saha said exclusive interview ndtv aa also accused opposition lying trying mislead voters yearold said waiting day state oppositionthe opposition lied voters tried mislead ththem waiting tripura oppositionless dr saha saidthe left parties ruled tripura years since brief interruption congress came power bjp seats mthember assthembly ally ipft indigenous peoples front tripura eight seats bjp contesting seats election ipft contesting five seats,https://www.ndtv.com/india-news/waiting-for-opposition-less-tripura-chief-minister-manik-saha-ahead-of-polls-3780739,dr manik saha senior bjp leader tripura expressed confidence party win seats state assthembly election opposition unable show face public results accused opposition lying trying mislead voters said looking forward day tripura would oppositionless
30,union home minister amit shah friday continued attack meghalaya chief minister conrad sangma national peoples party npp accusing state government corruption filling coffers poor peoples moneyaddressing election rallies meghalayas rangsakona daluhe bjp leader said narendra modi government provided rs crore supply water households meghalaya money siphoned state governmentaaaaaa athe central government approved lakh housing units people get ththemaaaaaaa mr shah said doubling claim conrad sangma stopped flow funds statethe bjp part conrad sangmaled meghalaya dthemocratic allianceaa government state broke alliance elections contesting assthembly seats,https://www.ndtv.com/india-news/amit-shahs-big-corruption-charge-at-meghalaya-chief-minister-ahead-of-polls-3792174,bjp leader amit shah accused meghalaya government corruption misusing funds meant welfare poor stated central government approved funds supply water households construction lakh housing units state government siphoned money bjp part ruling coalition meghalaya broken away contesting assthembly seats upcoming elections
31,chief minister conrad sangmaled national peoples party leaving stone unturned return power meghalaya second consecutive term ruling party could face tough battle going fight polls time without alliance national peoples partyled meghalaya dthemocratic alliance mda support bjp united dthemocratic party udp formed governmentvoting mthember legislative assthembly held single phase along nagaland uary election results three northeastern states meghalaya tripura nagaland announced five points chief minister conrad sangmaaaaaaaa conrad sangma national president national peoples party npp son pa sangma former meghalaya chief minister lok sabha speaker,https://www.ndtv.com/india-news/meghalaya-election-2023-5-points-on-chief-minister-conrad-sangma-3781011,meghalaya chief minister conrad sangmaled national peoples party contesting without alliance upcoming state assthembly elections npp formed government support bjp united dthemocratic party voting held uary results announced conrad sangma national president npp son former meghalaya chief minister lok sabha speaker pa sangma
32,bjp national president jp nadda tuesday accorded warm welcome partys state president tthemjen imna along arrival dimapur airportmr nadda arrived nagaland launching partys manifesto uary assthembly polls nagaland meghalayasenior bjp leaders workers also present dimapur airport welcome mr naddaon uary senior party official told ani party president launch sankalp patra nagaland polls uary meghalaya uary since coming power narendra modiled government centre laid special focus northeast act east policy pm modi made visits region party invested efforts towards secure northeastthe union government committed safe secure northeast resolving border issues states,https://www.ndtv.com/india-news/bjp-president-reaches-nagaland-to-launch-manifesto-ahead-of-elections-3781296,bjp national president jp nadda arrived nagaland launching partys manifesto uary assthembly polls nagaland meghalaya accorded warm welcome partys state president tthemjen imna along senior bjp leaders workers dimapur airport bjp focusing northeast region act east policy invested efforts towards secure northeast
33,meghalaya assthembly election witness multicornered contest assthembly seats ruling npp aiming retain power contesting alone bjp congress trinamool congress fielded prominent faces polls trinamool congress became principal opposition party meghalaya congress mlas joined former chief minister mukul sangma among switched sides five points himvoting meghalaya take place single phase uary results announced along tripura nagaland,https://www.ndtv.com/india-news/2023-meghalaya-assembly-election-5-points-on-former-chief-minister-mukul-sangma-3784042,meghalaya assthembly elections witness multicornered contest ruling npp aims retain power alone bjp congress trinamool congress field prominent faces former cm mukul sangma switched sides trinamool congress
34,union home minister amit shah thursday said bjp broke alliance npp elections meghalaya contest assthembly seats themerge stronger addressing election rally north tura constituency appealed people vote bjp promising end corruption statedue mismanagthement corruption state deficit rs crore huge amount small state like meghalaya per rbi report meghalaya developing slowest pace country saidmake bjp strong party state end corruption told rallythe bjp part nppled mda government contesting seats uary elections,https://www.ndtv.com/india-news/meghalaya-polls-bjp-broke-alliance-in-meghalaya-to-contest-all-seats-amit-shah-3789158,union home minister amit shah promised end corruption meghalaya bjp voted power upcoming state assthembly elections election rally north tura constituency bjp contesting seats uary elections
35,get seats tripura results opposition able show face public dr manik saha said exclusive interview ndtv,https://www.ndtv.com/india-news/elections-2023-live-updates-waiting-for-opposition-less-tripura-chief-minister-manik-saha-3783336,dr manik saha expressed confidence bjpipft alliance win seats elections tripura claimed opposition able show faces public election results
36,congress party suffered several setbacks meghalaya since last assthembly election congress could form government assthembly seats themerge largest single party northeastern statewith number mlas including former chief minister mukul sangma switching parties congress left mla meghalaya party aiming regain lost political footprint state high hopes candidates like lok sabha mp vincent pala points himmeghalaya go polls uary along nagaland votes counted three northeastern states tripura meghalaya nagaland,https://www.ndtv.com/india-news/2023-meghalaya-election-5-points-on-congress-shillong-mp-vincent-pala-3784115,congress party meghalaya faced setbacks since assthembly election losing mlas parties currently holding seats party aiming make comeback lok sabha mp vincent pala prominent candidate upcoming polls uary
37,polling assthembly seats tripura held yesterday nearly per cent voters casting vote final turnout figures known friday election commission saidthe ec also said voting thursday rthemained largely violencefreepolling meghalaya nagaland held uary counting votes three states take place public meetings honble union minister state minority affairs shri johnbarlabjp ji east shillong nongthymmai constituencies yesterday,https://www.ndtv.com/india-news/assembly-elections-live-updates-tripura-polls-meghalaya-nagaland-voting-campaigning-3789815,polling assthembly seats tripura held nearly turnout reported voting rthemained largely violencefree final turnout figures known friday
38,threecornered high voltage election campaign ruling bjp faces leftcong alliance one hand tipra motha culminated todayall preparations conducting free fair peaceful elections mthember tripura assthembly thursday completed chief electoral officer ceo gitte kirankudinakarro saidthe voting held tight security pm polling stations identified sensitive critical dinakarro told ptithe main contestants elections bjpipft combine cpimcongress alliance tipra motha regional party formed scion northeastern states former royal familyvotes counted many polling personnel security personnel central forces ready conduct election free fair peaceful manner,https://www.ndtv.com/india-news/tripura-all-set-for-3-cornered-contest-tomorrow-3785791,high voltage election campaign tripuras assthembly seats concluded bjp facing leftcongress alliance tipra motha party voting held thursday tight security polling stations results announced h
39,national dthemocratic progressive party ndpp entered alliance bharatiya party bjp nagaland elections winning together ndpp contesting assthembly seats bjp eyeing seats state last election ndpp seats welcomed mlas naga peoples front npf likely benefit upcoming polls rebel mlas led former nagaland chief minister tr zelianghere points tr zeliangvoting mthember nagaland assthembly held uary votes counted along tripura meghalaya,https://www.ndtv.com/india-news/2023-nagaland-assembly-election-5-points-on-former-chief-minister-tr-zeliang-3784793,ndpp bjp formed alliance upcoming nagaland elections ndpp contesting seats bjp contesting ndpp seats last election welcomed mlas npf led former cm tr zeliang voting held uary results announced along tripura meghalaya
40,tripura womens commission chairperson barnali goswami allegedly assaulted bharatiya ta party bjp workers dhamnagar tuesdaysome attackers allegedly include elected bjp councillorsaa ms goswami senior bjp leader said around women men attacked went meet neighbouri injured attack attackers tore saree clothing police also help despite several phone calls claimedthe womens body chief registered fir connection incident also informed tripura chief minister manik sahaaa according police one associates bodyguard also injured attackbjp insiders added ms goswami denied bjp ticket upcoming assthembly elections started working sitting dhamnagar mla bjps biswa bandhu senelections seat tripura assthembly take place uary,https://www.ndtv.com/india-news/tripura-womens-commission-chief-alleges-attack-by-bjp-workers-3783781,barnali goswami chairperson tripura womens commission allegedly assaulted bjp workers dhamnagar goswami senior bjp leader registered fir informed tripura cm incident occurred denied bjp ticket upcoming assthembly elections
41,congress party suffered several setbacks meghalaya since last assthembly election congress could form government assthembly seats themerge largest single party northeastern statewith number mlas including former chief minister mukul sangma switching parties congress left mla meghalaya party aiming regain lost political footprint state high hopes candidates like lok sabha mp vincent pala points himmeghalaya go polls uary along nagaland votes counted three northeastern states tripura meghalaya nagaland,https://www.ndtv.com/india-news/2023-meghalaya-election-5-points-on-congress-shillong-mp-vincent-pala-3784115,congress party meghalaya faced multiple setbacks since assthembly elections many mlas switching parties party hopes regain lost political presence state candidates like lok sabha mp vincent pala meghalaya go polls uary along nagaland votes counted three northeastern states tripura meghalaya nagaland
42,aa bjps meteoric rise party never single seat tripura bjp polled per cent votes less five years tripura changed colours result credited mainly prime minister narendra modi party polled per cent votes whopping per cent increase since seats bjps rise mostly expense congress whose vote share ate intobjp vs cpim contest two parties ideological rivals never direct electoral contest two parties historically cpims rival congress trinamool bengal since west bengal kerala tripura left bastions,https://www.ndtv.com/india-news/tripura-elections-rewind-how-the-last-polls-set-the-stage-for-2023-face-off-3785195,bjps rapid ascent tripura since credited mainly prime minister narendra modi party seats increase vote share since rise mostly expense congress election tripura direct contest bjp cpim historically rivalries congress
43,chief electoral officer tripura today issued notices state units congress bjp well bjp national general secretary dilip saikia seeking votes twitter polling underway northeastern statethe election commission said tweets violative election law made hour silence period began tuesday evening voting mthember assthembly state began thursdaythey given opportunity take corrective action earliest also asked explain stands violation pm fridayin notice saikia tripura ceo said appeal vote favour bjp tweeted handle hours,https://www.ndtv.com/india-news/tripura-polls-poll-body-notice-to-congress-bjp-for-online-posts-on-tripura-election-day-3787923,congress bjp tripura bjp national general secretary dilip saikia issued notices seeking votes twitter polling violates election laws hour silence period given time take corrective action explain stands violation pm friday
44,bjp president jp nadda wednesday released partys manifesto meghalaya elections promising per cent reservation women government jobs implthementation th pay commission recommendations state themployeesthe bjp also promised rs meals canteens free education girls till postgraduation free scooters fthemale college toppers government bond rs birth girl child allwoman police battalion voted power meghalaya matrilineal societyit also promised financial assistance rs annually dependent widows single mothers two free lpg cylinders beneficiaries pm ujjwala yo power supplyit also promised double senior citizens pensions rs per month urban shelters unorganised workers free rice wheat dal eligible public distribution systthem pds beneficiaries,https://www.ndtv.com/india-news/bjp-promises-33-reservation-in-jobs-to-women-in-meghalaya-manifesto-3785659,bjp releases manifesto upcoming meghalaya elections promising reservation women government jobs implthementation th pay commission recommendations free education girls social welfare schthemes
