Input_Text,,Source,,Summary
"Turkish rescuers on Friday pulled a 45-year-old man from rubble nearly 12 days after a devastating quake claimed tens of thousands of lives.Teams have been finding survivors all week despite them being stuck for so long under the rubble in freezing weather, although their numbers have dropped to just a handful in the past few days.The man, Hakan Yasinoglu, was rescued 278 hours after the 7.8-magnitude tremor in badly hit Hatay, a southern province near the Syrian border.Images on social media showed rescuers gingerly carrying a stretcher with the man through the ruins of a flattened building.He was tied down to the stretcher to avoid a fall, and covered with a golden thermal jacket",,https://www.ndtv.com/world-news/turkey-finds-new-survivor-278-hours-after-massive-quake-that-killed-41-000-3792928,,"Turkish rescuers pulled a man from rubble in Hatay, Turkey 12 days after a devastating earthquake. Hakan Yasinoglu was rescued 278 hours after the quake, despite teams finding fewer survivors in recent days. The rescue was carried out gingerly, and he was covered with a thermal jacket."
"At least four people were killed when a Pakistan Taliban suicide squad barged into a police compound Friday in the port city of Karachi, with a gun battle raging for hours as security forces went floor-to-floor through an office building in pursuit of the assailants.The attack comes just weeks after a bomb blast at a police mosque in the country's northwest killed over 80 officers, and officials said late Friday that security would be stepped up in the capital Islamabad.The Pakistan Taliban said its fighters barged intoÃ‚ the tightly guarded Karachi Police Office compound, home to dozens of administrative and residential buildings as well as hundreds of officers and their families.""Four people were killed in the attack, including two policemen, one ranger, and one sanitary worker,"" Sindh government spokesman Murtaza Wahab Siddiqui told AFP, adding 14 others were wounded.""The operation has concluded with the killing of all three terrorists,"" he said.",,https://www.ndtv.com/world-news/four-killed-in-karachi-police-attack-claimed-by-pakistan-taliban-3792924,,"Four people were killed and 14 others injured when a Pakistan Taliban suicide squad attacked a police compound in Karachi, with a gun battle lasting several hours. This comes just weeks after another deadly attack on a police mosque in the country's northwest, prompting officials to increase security in the capital, Islamabad. The Taliban claimed responsibility for the attack, which resulted in the deaths of two policemen, one ranger, and one sanitary worker."
"Anton Krasovsky, a pro-war Russian TV presenter who called for Ukrainian children to be drowned, has been given a five-year jail term in absentia by a court in Ukraine, officials said on Friday.Ukraine's SBU security service said Krasovsky had been found guilty of two charges of calling for genocide and two charges of advocating the overthrow of Ukraine's constitutional system.In October, Krasovsky told state-control led broadcaster RT that Ukrainian children who saw Russians as occupiers under the Soviet Union should have been ""thrown straight into a river with a strong current"". Krasovsky, who has been sanctioned by the European Union, later apologised but was suspended for the remarks.""Since last February, he publicly supported the full-scale invasion of the Russian Federation, condoned crimes committed by the racists and called for the genocide of the Ukrainian people,"" the SBU announced in a statement.""At present the criminal is hiding from justice abroad.",,https://www.ndtv.com/world-news/russia-tv-presenter-given-5-year-jail-term-over-call-to-drown-ukraine-children-3792885,,"Pro-war Russian TV presenter Anton Krasovsky has been sentenced in absentia to five years in jail by a Ukrainian court for two charges of calling for genocide and two charges of advocating the overthrow of Ukraine's constitutional system. Krasovsky had previously called for Ukrainian children to be drowned and later apologized. He is currently hiding from justice abroad.


"
"In 2021, a California state court threw out a feminist blogger's lawsuit accusing Twitter Inc of unlawfully barring as ""hateful conduct"" posts criticizing transgender people. In 2022, a federal court in California tossed a lawsuit by LGBT plaintiffs accusing YouTube, part of Alphabet Inc, of restricting content posted by gay and transgender people.These lawsuits were among many scuttled by a powerful form of immunity enshrined in USÃ‚ law that covers internet companies. Section 230 of the Communications Decency Act of 1996 frees platforms from legal responsibility for content posted online by their users.In a major case to be argued at the USÃ‚ Supreme Court on Tuesday, the nine justices will address the scope of Section 230 for the first time. A ruling weakening it could expose internet companies to litigation from every direction, legal experts said.",,https://www.ndtv.com/world-news/how-a-case-against-youtube-in-us-may-alter-the-way-the-internet-works-3791333,,"The US Supreme Court is set to address the scope of Section 230 of the Communications Decency Act, which provides immunity to internet companies for user-generated content. A ruling weakening it could expose platforms to a flood of litigation."
"The Congress in Meghalaya alleged that the ruling National People's Party (NPP) has failed to protect women and children, ""with the state faring poorly on the infant and maternal mortality rate indexes.Addressing a press meet in the poll-bound state on Thursday, AICC media coordinator Bobbeeta Sharma said that the NPP had in 2018 election manifesto promised to empower women in Meghalaya but ""data tells us another story"".""The fifth round of the National Family and Health Survey (NFHS-5 2019-20) has exposed the condition of the healthcare system in the state. Only 26% of all children under the age of 12 months have received any immunisation,"" she stated.The Maternal Mortality Rate stood at 197 per 100,000 and the Infant Mortality Rate stands at 34 per 1,000 live births, she noted.",,https://www.ndtv.com/india-news/meghalaya-polls-2023-congress-slams-chief-ministers-party-over-poor-healthcare-system-3790074#pfrom=home-ndtvelex_elections2021_topstories,,"The Congress in Meghalaya accused the ruling National People's Party (NPP) of failing to protect women and children, with poor infant and maternal mortality rates. AICC media coordinator Bobbeeta Sharma stated that only 26% of children under 12 months received immunisation, and the maternal mortality rate stood at 197 per 100,000, and infant mortality rate at 34 per 1,000 live births.


"
"Chief Minister Conrad K Sangma-led National People's Party is leaving no stone unturned to return to power in Meghalaya for a second consecutive term. The ruling party could face a tough battle as it's going to fight polls this time without an alliance. In 2018, the National People's Party-led Meghalaya Democratic Alliance (MDA), with support from BJP and United Democratic Party (UDP), formed the government.Voting for the 60-member Legislative Assembly will be held in a single phase along with Nagaland on February 27. The election results for the three northeastern states of Meghalaya, Tripura, and Nagaland will be announced on March 2.Here are five points about Chief Minister Conrad K Sangma. Conrad K Sangma is the national president of the National People's Party (NPP). He is the son of PA Sangma, former Meghalaya Chief Minister and Lok Sabha speaker.",,https://www.ndtv.com/india-news/meghalaya-election-2023-5-points-on-chief-minister-conrad-sangma-3781011,,"Meghalaya's National People's Party, led by Chief Minister Conrad K Sangma, aims to win a second term without an alliance in upcoming elections. Voting will be held on February 27, and results announced on March 2. Sangma is the NPP national president and son of former Chief Minister PA Sangma."
"In the 2018 Nagaland election, it was the Naga People's Front (NPF) that emerged as the single largest party, winning 27 seats. The BJP, however, forged an alliance with the NDPP, the Janata Dal (United) and formed the government. While the NPF too joined the ruling alliance in 2021, it is now faced with a challenge after 21 of its MLAs joined the NDPP last year. In the 2023 polls, the NPF is contesting alone and the NDPP-BJP alliance continues. The NPF currently has just four sitting MLAs, Kuzholuzo Nienu being one of them.Here are five facts about the NPF leader.",,https://www.ndtv.com/india-news/2023-nagaland-assembly-election-5-points-on-npf-leader-kuzholuzo-nienu-3787533,,"The Naga People's Front (NPF) emerged as the single largest party in the 2018 Nagaland election, but the BJP formed the government with the NDPP. In the 2023 polls, the NPF is contesting alone, while the NDPP-BJP alliance continues. The NPF currently has just four sitting MLAs, with Kuzholuzo Nienu being one of them."
"BJP president JP Nadda on Wednesday released the party's manifesto for the Meghalaya elections, promising 33 per cent reservation for women in all government jobs and implementation of 7th Pay Commission recommendations for state employees.The BJP also promised Rs 5 meals through canteens, free education to girls till post-graduation, free scooters for female college toppers, a government bond of Rs 50,000 on the birth of a girl child and an all-woman police battalion, if it is voted to power in Meghalaya, which has a matrilineal society.It also promised financial assistance of Rs 24,000 annually to all dependent widows and single mothers, two free LPG cylinders to all the beneficiaries of the PM Ujjwala Yojana and 24x7 power supply.It also promised to double senior citizens' pensions to Rs 1,000 per month, urban shelters for unorganised workers, and free rice, wheat and dal to all eligible public distribution system (PDS) beneficiaries.",,https://www.ndtv.com/india-news/bjp-promises-33-reservation-in-jobs-to-women-in-meghalaya-manifesto-3785659,,"The BJP released its Meghalaya election manifesto, promising 33% reservation for women in government jobs, implementation of 7th Pay Commission for state employees, Rs 5 meals through canteens, free education for girls till post-graduation, and an all-woman police battalion. Other promises included financial assistance for widows, free LPG cylinders, 24x7 power supply, and free rice, wheat, and dal to eligible PDS beneficiaries."
"The Congress in Meghalaya alleged that the ruling National People's Party (NPP) has failed to protect women and children, ""with the state faring poorly on the infant and maternal mortality rate indexesÃ¢â‚¬Â.Addressing a press meet in the poll-bound state on Thursday, AICC media coordinator Bobbeeta Sharma said that the NPP had in 2018 election manifesto promised to empower women in Meghalaya but ""data tells us another story"".""The fifth round of the National Family and Health Survey (NFHS-5 2019-20) has exposed the condition of the healthcare system in the state. Only 26% of all children under the age of 12 months have received any immunisation,"" she stated.The Maternal Mortality Rate stood at 197 per 100,000 and the Infant Mortality Rate stands at 34 per 1,000 live births, she noted.",,https://www.ndtv.com/india-news/meghalaya-polls-2023-congress-slams-chief-ministers-party-over-poor-healthcare-system-3790074,,"Congress alleges NPP failed to protect women and children, citing poor infant and maternal mortality rates in Meghalaya. Only 26% of children under 12 months received immunization."
"CPIM general secretary Sitaram Yechury wrote to the Chief Election Commissioner on Tuesday, alleging Union Home Minister Amit Shah is trying to ""influence"" the assembly elections in Tripura.Reiterating the accusations made by Jitendra Choudhury, Secretary of Tripura State Committee of CPI(M), in a separate letter sent to the CEC, Mr Yechury raised the issue of Mr Shah's alleged ""secret meeting"" with top election and police officials including the director general of police.There was no immediate reaction from the BJP.""This is a very serious issue which concerns the conduct of the Union Home Minister in trying to directly influence the conduct of elections for the Tripura Assembly. You will recall that in our meeting with the full Election Commission last afternoon, we had expressed our apprehensions about such a possibility involving the Union Home Minister.",,https://www.ndtv.com/india-news/tripura-elections-sitaram-yechury-writes-to-poll-panel-over-amit-shahs-alleged-secret-meeting-3782933,,"CPIM general secretary Sitaram Yechury has written to the Chief Election Commissioner, alleging that Union Home Minister Amit Shah is trying to ""influence"" the assembly elections in Tripura, citing a secret meeting with top election and police officials. BJP has not responded yet."
"BJP national president JP Nadda today released the manifesto for the upcoming Meghalaya Assembly polls in state capital Shillong.Elaborating on the manifesto titled 'eMpowered Meghalaya', Mr Nadda said the 'M' in its name signifies ""Modi for Meghalaya"".Speaking at the unveiling of the party's poll pledges, the BJP national president said the potential of the Northeast state, which is rich in culture and tradition, hasn't been suitably harnessed and utilized till date.He said there is a lot to be done in the state as there is plenty of scope for development.""Corruption is also a major issue, which has posed a hindrance to the development of Meghalaya,"" Mr Nadda said.He added that the BJP wants to work towards a corruption-free Meghalaya by delivering strong governance.He added that a strong Meghalaya could only be created by a strong BJP government.""We need to raise visions of Mega Meghalaya, we have to think big.",,https://www.ndtv.com/india-news/income-support-for-women-increased-pension-in-bjp-manifesto-for-meghalaya-3784388,,"BJP national president JP Nadda unveiled the manifesto for the Meghalaya Assembly polls titled 'eMpowered Meghalaya' in Shillong. Nadda said there is a lot to be done in the state, which has plenty of scope for development, but corruption is a major issue hindering development. The BJP wants to work towards a corruption-free Meghalaya by delivering strong governance, he added."
"BJP national president JP Nadda was on Tuesday accorded a warm welcome to the party's state president Temjen Imna Along on his arrival at Dimapur airport.Mr Nadda arrived in Nagaland for launching the party's manifesto for the February 27 Assembly polls in Nagaland and Meghalaya.Senior BJP leaders and workers were also present at the Dimapur airport to welcome Mr Nadda.On February 8, a senior party official told ANI, ""Our party president will launch the Sankalp Patra for Nagaland polls on February 14 and for Meghalaya on February 15.""Since coming to power in 2014, the Narendra Modi-led government at the Centre has laid a special focus on the Northeast, through its 'Act East' policy. While the PM Modi himself made over 50 visits to the region, the party has invested its efforts towards a secure Northeast.""The Union government is committed to a safe and secure Northeast and resolving the border issues in all states.",,https://www.ndtv.com/india-news/bjp-president-reaches-nagaland-to-launch-manifesto-ahead-of-elections-3781296,,"BJP national president JP Nadda unveiled the manifesto for the Meghalaya Assembly polls titled 'eMpowered Meghalaya' in Shillong. Nadda said there is a lot to be done in the state, which has plenty of scope for development, but corruption is a major issue hindering development. The BJP wants to work towards a corruption-free Meghalaya by delivering strong governance, he added."
"The Chief Electoral Officer of Tripura today issued notices to the state units of the Congress and the BJP as well as BJP national general secretary Dilip Saikia for seeking votes on Twitter when polling is underway in the northeastern state.The Election Commission said the tweets are violative of election law as they were made in the 48 hour ""silence period"" which began on Tuesday evening. Voting for the 60-member Assembly in the state began at 7 am on Thursday.They have been given an an opportunity ""to take corrective action at the earliest"". They have also been asked to explain their stands for the violation by 5 pm on Friday.In its notice to Saikia, the Tripura CEO said, "" ... an appeal for vote in favour of BJP has been tweeted from your handle at 0950 hours on 16.02.2023.",,https://www.ndtv.com/india-news/tripura-polls-poll-body-notice-to-congress-bjp-for-online-posts-on-tripura-election-day-3787923,,"The Chief Electoral Officer of Tripura issued notices to the state units of Congress and BJP, as well as BJP national general secretary Dilip Saikia, for violating election law by seeking votes on Twitter during the 48-hour ""silence period"" before polling began on Thursday. They have been given an opportunity to take corrective action and explain their stands by 5 pm on Friday."
"Alleging that the BJP-led government is not following the Constitution and has murdered democracy in Tripura, he said that the two rivalsâ€œ the Left and the Congress- have joined hands to end rule in the state.His comment comes after PM Modi had on February 11 lashed out at the Congress-CPI(M) alliance in Tripura during an election rally and said the two parties have strangely chosen dosti' (friendship) in the northeastern state as against their normal kushti' (wrestling) in Kerala.You have mentioned that two parties, which are fighting each other in a state (Kerala), have become friends here. It is true that a CPI(M)-led front is running a government in Kerala where the Congress is sitting on the opposition bench. But democracy is vibrant there, which is missing in Tripura.",,https://www.ndtv.com/india-news/pm-restless-over-left-cong-alliance-in-tripura-ex-chief-minister-manik-sarkar-3780945,,"Commenting on the Tripura elections, Congress leader Rahul Gandhi accused the BJP government of murdering democracy and said the Left and Congress have joined hands to end rule in the state."
"Nearly 88 per cent of voting was recorded in the one-day Tripura assembly elections, which were ""largely peaceful"", a senior EC official said on Friday.The elections to the 60-member assembly were held across the northeastern state on Thursday.""An average of 87.63 per cent polling was recorded in the assembly elections, which went till 8.30 or 9 pm on Thursday. The figure excluded the number of polled postal ballots,"" Additional CEO Subhasish Bandhopadhyay told PTI.Of the total 28.14 lakh voters, over 24.66 lakhs have exercised their franchise, he said.Tripura had, in the 2018 assembly elections, recorded 89.38 per cent voting, while the highest poll percentage was 93 in 2013.",,https://www.ndtv.com/india-news/tripura-records-nearly-88-per-cent-voter-turnout-on-poll-day-3790652,,"The one-day Tripura assembly elections saw a nearly 88% voter turnout, with over 24.66 lakh voters exercising their franchise. The elections were largely peaceful, according to a senior EC official."
"BJP state president Ernest Mawrie is among the most prominent faces of the party in the state. The BJP, which won just two seats in the last Assembly election, has fielded candidates in all 60 constituencies.Here are five points about Ernest Mawrie:Voting will take place in a single phase in Meghalaya on February 27. The results for the 2023 Meghalaya, Tripura, and Nagaland elections will be announced on March 2. The term of the Meghalaya Legislative Assembly ends on March 15.Ã‚ Ã‚ .",,https://www.ndtv.com/india-news/2023-meghalaya-election-5-points-on-bjp-state-president-ernest-mawrie-3787562,,BJP state president Ernest Mawrie is a prominent face of the party in Meghalaya where the BJP has fielded candidates in all 60 constituencies. The state assembly elections will be held on February 27 and the results will be announced on March 2.
"Union Home Minister Amit Shah on Friday continued his attack against Meghalaya Chief Minister Conrad K Sangma and the National People's Party (NPP) accusing the state government of corruption and filling its coffers with poor people's money. Addressing election rallies in Meghalaya's Rangsakona and Dalu. He, the BJP leader said that the Narendra Modi government had provided Rs 24,000 crore for the supply of the water to all the households in Meghalaya, but the money was siphoned off by the state government The central government had approved 2.5 lakh housing units but people did not get them, Mr Shah said, doubling down on his claim that Conrad Sangma stopped the flow of funds in the state. The BJP, which was a part of the Conrad Sangma-led Meghalaya Democratic Alliance government in the state, broke the alliance before the elections and is contesting all the 60 assembly seats.",,https://www.ndtv.com/india-news/amit-shahs-big-corruption-charge-at-meghalaya-chief-minister-ahead-of-polls-3792174,,"Union Home Minister Amit Shah accused Meghalaya Chief Minister Conrad K Sangma and the National People's Party (NPP) of corruption and diverting funds meant for the people's welfare. He claimed that the state government misused the funds provided by the central government for water supply and housing units, and urged voters to support BJP in the upcoming assembly elections."
"""We will get more seats than we did in 2018. After Tripura results, Opposition won't be able to show its face in public,"" Dr Manik Saha said in an exclusive interview with NDTV..",,https://www.ndtv.com/india-news/elections-2023-live-updates-waiting-for-opposition-less-tripura-chief-minister-manik-saha-3783336,,"Dr. Manik Saha, the Tripura BJP spokesperson, expressed confidence that his party would win more seats than in the previous election and claimed that after the results, the Opposition would not be able to show its face in public. He made this statement in an exclusive interview with NDTV."
"""We will get more seats than we did in 2018. After Tripura results, Opposition won't be able to show its face in public,"" Dr Manik Saha said in an exclusive interview with NDTV. Ã‚ He also accused the Opposition of lying and trying to mislead the voters. The 70-year-old said that he is waiting for the day when the state will have no Opposition.""The Opposition lied to the voters and tried to mislead them. I am waiting for when Tripura will be Opposition-less,"" Dr Saha said.The Left Parties had ruled Tripura for 30 years since 1978, with just a brief interruption in 1988 when the Congress came to power. In 2018, the BJP won 36 seats in the 60-member assembly, while its ally IPFT (Indigenous People's Front of Tripura) won eight seats. BJP is contesting 55 seats in this election and IPFT is contesting five seats.",,https://www.ndtv.com/india-news/waiting-for-opposition-less-tripura-chief-minister-manik-saha-ahead-of-polls-3780739,,"Dr Manik Saha, a senior BJP leader in Tripura, has expressed confidence that his party will win more seats in the state assembly election than it did in 2018, and that the opposition will be unable to show its face in public after the results. He accused the opposition of lying and trying to mislead voters, and said he was looking forward to the day when Tripura would be ""opposition-less""."
"Union Home Minister Amit Shah on Friday continued his attack against Meghalaya Chief Minister Conrad K Sangma and the National People's Party (NPP) accusing the state government of corruption and filling its coffers with poor people's money.Addressing election rallies in Meghalaya's Rangsakona and DaluHe, the BJP leader said that the Narendra Modi government had provided Rs 24,000 crore for the supply of the water to all the households in Meghalaya, but the money was siphoned off by the state government.Ã¢â‚¬Å“The central government had approved 2.5 lakh housing units but people did not get them,Ã¢â‚¬Â Mr Shah said, doubling down on his claim that Conrad Sangma stopped the flow of funds in the state.The BJP, which was a part of the Conrad Sangma-led Meghalaya Democratic AllianceÃ‚ government in the state, broke the alliance before the elections and is contesting all the 60 assembly seats.",,https://www.ndtv.com/india-news/amit-shahs-big-corruption-charge-at-meghalaya-chief-minister-ahead-of-polls-3792174,,"BJP leader Amit Shah accused the Meghalaya government of corruption and misusing funds meant for the welfare of the poor. He stated that the central government had approved funds for the supply of water to all households and for the construction of 2.5 lakh housing units, but the state government had siphoned off the money. The BJP, which was part of the ruling coalition in Meghalaya, has broken away and is contesting all 60 assembly seats in the upcoming elections."
